ts_code,trade_time,open,close,high,low,vol,amount,trade_date,pre_close
002594.SZ,2023-06-12 11:18:00,260.02,260.07,260.13,260.01,18800.0,4889110.0,20230612,260.02
002594.SZ,2023-06-12 11:17:00,260.08,260.02,260.17,260.02,7300.0,1898521.0,20230612,260.1
002594.SZ,2023-06-12 11:16:00,260.1,260.1,260.28,260.07,7600.0,1976722.0,20230612,260.2
002594.SZ,2023-06-12 11:15:00,260.33,260.2,260.36,260.1,18100.0,4710751.0,20230612,260.33
002594.SZ,2023-06-12 11:14:00,260.3,260.33,260.33,260.3,5900.0,1535776.0,20230612,260.08
002594.SZ,2023-06-12 11:13:00,260.01,260.08,260.3,260.01,7500.0,1951266.0,20230612,260.3
002594.SZ,2023-06-12 11:12:00,260.35,260.3,260.36,260.02,13600.0,3539641.0,20230612,260.34
002594.SZ,2023-06-12 11:11:00,260.1,260.34,260.34,260.0,32000.0,8325412.0,20230612,260.1
002594.SZ,2023-06-12 11:10:00,260.01,260.1,260.36,260.01,10800.0,2809369.0,20230612,260.02
002594.SZ,2023-06-12 11:09:00,260.02,260.02,260.2,260.01,7400.0,1924917.0,20230612,260.01
002594.SZ,2023-06-12 11:08:00,260.37,260.01,260.37,260.01,28800.0,7496771.0,20230612,260.36
002594.SZ,2023-06-12 11:07:00,260.63,260.36,260.75,260.36,12900.0,3361157.0,20230612,260.69
002594.SZ,2023-06-12 11:06:00,260.62,260.69,260.77,260.61,10900.0,2842035.0,20230612,260.6
002594.SZ,2023-06-12 11:05:00,260.36,260.6,260.6,260.36,25700.0,6695616.0,20230612,260.37
002594.SZ,2023-06-12 11:04:00,260.27,260.37,260.4,260.21,15200.0,3956047.0,20230612,260.25
002594.SZ,2023-06-12 11:03:00,260.23,260.25,260.25,260.08,15600.0,4059478.0,20230612,260.22
002594.SZ,2023-06-12 11:02:00,260.3,260.22,260.4,259.92,41700.0,10850818.0,20230612,259.98
002594.SZ,2023-06-12 11:01:00,259.68,259.98,259.98,259.68,15128.0,3930367.08,20230612,259.6
002594.SZ,2023-06-12 11:00:00,260.0,259.6,260.0,259.6,38600.0,10028716.0,20230612,260.0
002594.SZ,2023-06-12 10:59:00,260.0,260.0,260.01,259.97,14500.0,3769955.0,20230612,259.93
002594.SZ,2023-06-12 10:58:00,260.32,259.93,260.35,259.93,41600.0,10818471.0,20230612,260.32
002594.SZ,2023-06-12 10:57:00,260.06,260.32,260.32,260.03,19000.0,4942892.0,20230612,260.04
002594.SZ,2023-06-12 10:56:00,260.0,260.04,260.05,259.95,27100.0,7046599.0,20230612,260.02
002594.SZ,2023-06-12 10:55:00,260.08,260.02,260.1,260.0,20800.0,5408673.0,20230612,260.15
002594.SZ,2023-06-12 10:54:00,259.92,260.15,260.15,259.92,20400.0,5304445.0,20230612,259.9
002594.SZ,2023-06-12 10:53:00,259.99,259.9,260.0,259.81,21300.0,5536570.0,20230612,259.99
002594.SZ,2023-06-12 10:52:00,259.96,259.99,260.09,259.96,52800.0,13728482.0,20230612,259.93
002594.SZ,2023-06-12 10:51:00,260.08,259.93,260.15,259.93,79200.0,20593719.0,20230612,260.1
002594.SZ,2023-06-12 10:50:00,260.48,260.1,260.48,260.1,29700.0,7732949.0,20230612,260.41
002594.SZ,2023-06-12 10:49:00,260.5,260.41,260.8,260.4,20300.0,5289922.0,20230612,260.5
002594.SZ,2023-06-12 10:48:00,260.37,260.5,260.52,260.35,21800.0,5677041.0,20230612,260.35
002594.SZ,2023-06-12 10:47:00,260.5,260.35,260.5,260.35,29300.0,7630060.0,20230612,260.5
002594.SZ,2023-06-12 10:46:00,260.81,260.5,260.81,260.45,31900.0,8312886.0,20230612,260.77
002594.SZ,2023-06-12 10:45:00,261.02,260.77,261.02,260.77,16900.0,4409498.0,20230612,260.92
002594.SZ,2023-06-12 10:44:00,261.29,260.92,261.37,260.92,16700.0,4361468.0,20230612,261.28
002594.SZ,2023-06-12 10:43:00,260.88,261.28,261.41,260.88,56900.0,14854370.0,20230612,260.97
002594.SZ,2023-06-12 10:42:00,260.9,260.97,261.0,260.88,14800.0,3861694.0,20230612,261.0
002594.SZ,2023-06-12 10:41:00,260.79,261.0,261.0,260.66,37900.0,9884909.0,20230612,260.91
002594.SZ,2023-06-12 10:40:00,261.27,260.91,261.3,260.91,32100.0,8381315.0,20230612,261.23
002594.SZ,2023-06-12 10:39:00,261.13,261.23,261.28,261.13,25400.0,6634839.0,20230612,261.08
002594.SZ,2023-06-12 10:38:00,261.15,261.08,261.18,261.01,29900.0,7807612.0,20230612,261.18
002594.SZ,2023-06-12 10:37:00,261.18,261.18,261.21,261.14,31200.0,8148831.0,20230612,261.22
002594.SZ,2023-06-12 10:36:00,261.32,261.22,261.35,261.1,33200.0,8672201.0,20230612,261.36
002594.SZ,2023-06-12 10:35:00,261.54,261.36,261.57,261.36,33300.0,8707301.0,20230612,261.58
002594.SZ,2023-06-12 10:34:00,261.65,261.58,261.8,261.58,21400.0,5598854.0,20230612,261.64
002594.SZ,2023-06-12 10:33:00,261.97,261.64,262.01,261.64,49800.0,13038711.0,20230612,261.83
002594.SZ,2023-06-12 10:32:00,261.91,261.83,261.98,261.81,36800.0,9637684.0,20230612,261.86
002594.SZ,2023-06-12 10:31:00,262.08,261.86,262.14,261.86,37400.0,9800231.0,20230612,262.11
002594.SZ,2023-06-12 10:30:00,262.3,262.11,262.3,261.96,36200.0,9488194.0,20230612,262.3
002594.SZ,2023-06-12 10:29:00,262.0,262.3,262.33,262.0,56700.0,14866052.96,20230612,262.0
002594.SZ,2023-06-12 10:28:00,262.23,262.0,262.26,262.0,30100.0,7889466.0,20230612,262.26
002594.SZ,2023-06-12 10:27:00,262.35,262.26,262.4,262.0,54500.0,14294460.0,20230612,262.25
002594.SZ,2023-06-12 10:26:00,262.56,262.25,262.59,262.04,33600.0,8816098.0,20230612,262.6
002594.SZ,2023-06-12 10:25:00,262.68,262.6,262.75,262.56,54900.0,14422893.0,20230612,262.67
002594.SZ,2023-06-12 10:24:00,261.92,262.67,262.68,261.92,118100.0,30988690.0,20230612,261.92
002594.SZ,2023-06-12 10:23:00,262.0,261.92,262.1,261.9,28600.0,7492218.0,20230612,262.14
002594.SZ,2023-06-12 10:22:00,262.0,262.14,262.16,262.0,64000.0,16774905.0,20230612,262.0
002594.SZ,2023-06-12 10:21:00,262.02,262.0,262.2,261.99,33700.0,8832237.0,20230612,261.98
002594.SZ,2023-06-12 10:20:00,262.95,261.98,262.95,261.94,88000.0,23110862.0,20230612,262.99
002594.SZ,2023-06-12 10:19:00,261.88,262.99,263.0,261.8,541102.0,142007630.0,20230612,261.99
002594.SZ,2023-06-12 10:18:00,261.79,261.99,262.0,261.79,119664.0,31346314.28,20230612,261.8
002594.SZ,2023-06-12 10:17:00,261.14,261.8,261.8,261.1,100000.0,26136215.0,20230612,261.12
002594.SZ,2023-06-12 10:16:00,260.79,261.12,261.12,260.79,37200.0,9709473.0,20230612,260.8
002594.SZ,2023-06-12 10:15:00,260.79,260.8,261.04,260.77,45700.0,11922403.0,20230612,260.79
002594.SZ,2023-06-12 10:14:00,260.66,260.79,260.9,260.66,18710.0,4877940.2,20230612,260.62
002594.SZ,2023-06-12 10:13:00,260.48,260.62,260.64,260.48,23900.0,6227192.0,20230612,260.49
002594.SZ,2023-06-12 10:12:00,260.52,260.49,260.52,260.4,16100.0,4193898.0,20230612,260.5
002594.SZ,2023-06-12 10:11:00,260.7,260.5,260.7,260.5,20090.0,5235004.0,20230612,260.7
002594.SZ,2023-06-12 10:10:00,260.15,260.7,260.7,260.15,25010.0,6510569.6,20230612,260.3
002594.SZ,2023-06-12 10:09:00,260.98,260.3,260.98,260.3,33200.0,8659496.0,20230612,261.04
002594.SZ,2023-06-12 10:08:00,261.17,261.04,261.19,261.04,61400.0,16035631.0,20230612,261.14
002594.SZ,2023-06-12 10:07:00,261.34,261.14,261.4,261.1,38000.0,9928549.0,20230612,261.39
002594.SZ,2023-06-12 10:06:00,260.96,261.39,261.47,260.96,104400.0,27263118.0,20230612,260.96
002594.SZ,2023-06-12 10:05:00,260.63,260.96,260.96,260.6,46500.0,12125645.0,20230612,260.64
002594.SZ,2023-06-12 10:04:00,260.8,260.64,260.85,260.63,24100.0,6283766.0,20230612,260.8
002594.SZ,2023-06-12 10:03:00,260.78,260.8,260.8,260.69,24800.0,6466197.0,20230612,260.68
002594.SZ,2023-06-12 10:02:00,260.14,260.68,260.7,260.14,54161.0,14099824.42,20230612,260.14
002594.SZ,2023-06-12 10:01:00,259.95,260.14,260.37,259.85,52300.0,13600890.0,20230612,259.95
002594.SZ,2023-06-12 10:00:00,260.0,259.95,260.0,259.85,29400.0,7642351.0,20230612,260.03
002594.SZ,2023-06-12 09:59:00,260.18,260.03,260.63,260.03,40500.0,10540098.0,20230612,260.57
002594.SZ,2023-06-12 09:58:00,260.47,260.57,260.85,260.01,48700.0,12686339.0,20230612,260.69
002594.SZ,2023-06-12 09:57:00,260.5,260.69,260.79,260.39,27100.0,7060124.0,20230612,260.39
002594.SZ,2023-06-12 09:56:00,261.0,260.39,261.01,260.39,38600.0,10069570.0,20230612,261.0
002594.SZ,2023-06-12 09:55:00,260.71,261.0,261.0,260.71,46100.0,12025932.0,20230612,260.66
002594.SZ,2023-06-12 09:54:00,259.85,260.66,260.66,259.8,32300.0,8403367.0,20230612,259.8
